datum;wahl;ags;gebiet-nr_x;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;SPD 1;SPD 2;CDU 1;CDU 2;Grüne 1;Grüne 2;FDP 1;FDP 2;AfD 1;AfD 2;Die Linke 1;Die Linke 2;FW 1;FW 2;Tier 1;Tier 2;PARTEI 1;PARTEI 2;Volt 1;Volt 2;Hum 1;Hum 2;MLPD 1;MLPD 2;BD 1;BD 2;BSW 1;BSW 2;EMRE;F15;SPD 1%;SPD 2%;CDU 1%;CDU 2%;Grüne 1%;Grüne 2%;FDP 1%;FDP 2%;AfD 1%;AfD 2%;Die Linke 1%;Die Linke 2%;FW 1%;FW 2%;Tier 1%;Tier 2%;PARTEI 1%;PARTEI 2%;Volt 1%;Volt 2%;Hum 1%;Hum 2%;MLPD 1%;MLPD 2%;BD 1%;BD 2%;BSW 1%;BSW 2%;gebiet-nr_y;wk_name
23.02.2025;Bundestagswahl;6412000;1001;010-01;1;1;785;549;0;1334;608;18;4;604;2;606;149;108;159;143;105;100;37;44;55;60;72;89;7;4;;4;6;3;11;8;;1;3;0;;0;;42;;;24.67;17.82;26.32;23.6;17.38;16.5;6.13;7.26;9.11;9.9;11.92;14.69;1.16;0.66;;0.66;0.99;0.5;1.82;1.32;;0.17;0.5;0.0;;0.0;;6.93;1001;Stadtbücherei Zentralbibliothek
23.02.2025;Bundestagswahl;6412000;1002;010-02;1;1;673;330;0;1003;473;6;4;469;4;469;116;82;117;99;74;70;18;29;61;55;70;85;2;2;;2;5;4;6;6;;0;0;0;;1;;34;;;24.73;17.48;24.95;21.11;15.78;14.93;3.84;6.18;13.01;11.73;14.93;18.12;0.43;0.43;;0.43;1.07;0.85;1.28;1.28;;0.0;0.0;0.0;;0.21;;7.25;1002;Stadtbücherei Zentralbibliothek
23.02.2025;Bundestagswahl;6412000;4001;040-01;1;1;831;607;0;1438;592;6;4;588;3;589;131;83;157;127;100;101;40;70;68;68;78;100;2;1;;1;3;4;6;4;;0;3;0;;0;;30;;;22.28;14.09;26.7;21.56;17.01;17.15;6.8;11.88;11.56;11.54;13.27;16.98;0.34;0.17;;0.17;0.51;0.68;1.02;0.68;;0.0;0.51;0.0;;0.0;;5.09;4001;Liebfrauenschule
23.02.2025;Bundestagswahl;6412000;7001;070-01;1;1;430;237;0;667;245;4;4;241;3;242;55;33;44;31;47;47;10;18;20;22;55;60;2;1;;3;2;1;5;5;;0;1;2;;0;;19;;;22.82;13.64;18.26;12.81;19.5;19.42;4.15;7.44;8.3;9.09;22.82;24.79;0.83;0.41;;1.24;0.83;0.41;2.07;2.07;;0.0;0.41;0.83;;0.0;;7.85;7001;Julius-Leber-Schule
23.02.2025;Bundestagswahl;6412000;8001;080-01;1;1;698;427;0;1125;460;3;2;458;1;459;109;73;96;77;89;89;17;28;39;44;92;114;4;4;;1;5;2;5;2;;0;2;1;;0;;24;;;23.8;15.9;20.96;16.78;19.43;19.39;3.71;6.1;8.52;9.59;20.09;24.84;0.87;0.87;;0.22;1.09;0.44;1.09;0.44;;0.0;0.44;0.22;;0.0;;5.23;8001;Ludwig-Börne-Schule
23.02.2025;Bundestagswahl;6412000;9001;090-01;1;1;1140;740;0;1880;868;26;7;861;6;862;184;94;196;158;163;165;73;107;73;78;139;209;5;1;;4;9;4;17;18;;1;2;1;;0;;22;;;21.37;10.9;22.76;18.33;18.93;19.14;8.48;12.41;8.48;9.05;16.14;24.25;0.58;0.12;;0.46;1.05;0.46;1.97;2.09;;0.12;0.23;0.12;;0.0;;2.55;9001;Weißfrauenschule
23.02.2025;Bundestagswahl;6412000;10001;100-01;1;1;646;679;0;1325;577;24;3;574;1;576;116;78;228;197;73;86;56;79;57;59;37;47;2;0;;1;1;0;3;1;;2;1;0;;2;;24;;;20.21;13.54;39.72;34.2;12.72;14.93;9.76;13.72;9.93;10.24;6.45;8.16;0.35;0.0;;0.17;0.17;0.0;0.52;0.17;;0.35;0.17;0.0;;0.35;;4.17;10001;Goethe-Gymnasium
23.02.2025;Bundestagswahl;6412000;10002;100-02;1;1;736;581;0;1317;623;27;4;619;4;619;122;76;237;202;78;96;75;106;58;68;33;39;4;4;;0;7;3;4;5;;0;1;0;;0;;20;;;19.71;12.28;38.29;32.63;12.6;15.51;12.12;17.12;9.37;10.99;5.33;6.3;0.65;0.65;;0.0;1.13;0.48;0.65;0.81;;0.0;0.16;0.0;;0.0;;3.23;10002;Bettinaschule
23.02.2025;Bundestagswahl;6412000;11001;110-01;1;1;608;489;0;1097;508;15;2;506;1;507;90;56;182;158;114;116;39;65;35;39;39;48;2;2;;1;3;2;1;1;;1;1;0;;1;;17;;;17.79;11.05;35.97;31.16;22.53;22.88;7.71;12.82;6.92;7.69;7.71;9.47;0.4;0.39;;0.2;0.59;0.39;0.2;0.2;;0.2;0.2;0.0;;0.2;;3.35;11001;Anna-Schmidt-Schule
23.02.2025;Bundestagswahl;6412000;11002;110-02;1;1;580;440;0;1020;489;9;4;485;1;488;102;78;166;140;90;97;38;67;43;41;30;40;2;1;;2;4;3;10;4;;1;0;0;;0;;14;;;21.03;15.98;34.23;28.69;18.56;19.88;7.84;13.73;8.87;8.4;6.19;8.2;0.41;0.2;;0.41;0.82;0.61;2.06;0.82;;0.2;0.0;0.0;;0.0;;2.87;11002;Anna-Schmidt-Schule
